sample,spot,u_ppm,th_ppm,th_u,group,terrane
182203,18.1,95.4,131.5,1.4,Albany-Fraser Orogen,Proterozoic Orogens
184312,1.1,39.0,166.0,4.4,Albany-Fraser Orogen,Proterozoic Orogens
184312,14.1,55.0,209.0,3.9,Albany-Fraser Orogen,Proterozoic Orogens
187115,1.2,12.0,15.0,1.3,Musgraves,Proterozoic Orogens
194722,21.1,310.0,6.2,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194728,10.2,58.6,0.3,0.0,Albany-Fraser Orogen,Proterozoic Orogens
187174,13.1,2996.9,176.5,0.1,Musgraves,Proterozoic Orogens
187195,11.1,3431.9,214.0,0.1,Musgraves,Proterozoic Orogens
198532,13.1,508.0,10.4,0.0,Yilgarn,Archean Cratons
182203,29.1,158.5,210.0,1.4,Albany-Fraser Orogen,Proterozoic Orogens
174588,20.1,55.0,57.0,1.1,Musgraves,Proterozoic Orogens
184307,21.1,119.0,199.0,1.7,Albany-Fraser Orogen,Proterozoic Orogens
194381,35.1,198.0,355.3,1.9,Musgraves,Proterozoic Orogens
191706,15.1,93.5,43.9,0.5,Musgraves,Proterozoic Orogens
198532,31.1,1202.8,7.4,0.0,Yilgarn,Archean Cratons
194718,8.1,43.8,15.5,0.4,Albany-Fraser Orogen,Proterozoic Orogens
88410,21.1,145.0,106.0,0.7,Capricon Orogen,Proterozoic Orogens
194802,15.1,2757.0,2193.5,0.8,Musgraves,Proterozoic Orogens
