sample,spot,u_ppm,th_ppm,th_u,group,terrane
182475,58.1,103.4,23.7,0.2,Albany-Fraser Orogen,Proterozoic Orogens
194705,25.1,3736.4,64209.8,17.8,Albany-Fraser Orogen,Proterozoic Orogens
182203,8.1,89.8,127.8,1.5,Albany-Fraser Orogen,Proterozoic Orogens
174748,56.1,229.0,346.0,1.6,Musgraves,Proterozoic Orogens
177910,7.2,367.0,17.0,0.1,Albany-Fraser Orogen,Proterozoic Orogens
177910,24.2,140.0,17.0,0.1,Albany-Fraser Orogen,Proterozoic Orogens
192523,3.1,72.9,61.8,0.9,Albany-Fraser Orogen,Proterozoic Orogens
187289,64.1,633.2,94.6,0.2,Musgraves,Proterozoic Orogens
182485,21.1,411.2,203.0,0.5,Albany-Fraser Orogen,Proterozoic Orogens
194702,9.1,86.9,0.5,0.0,Albany-Fraser Orogen,Proterozoic Orogens
182475,30.1,117.7,42.0,0.4,Albany-Fraser Orogen,Proterozoic Orogens
177908,8.1,406.0,110.0,0.3,Yilgarn,Archean Cratons
177908,8.1,406.0,110.0,0.3,Yilgarn,Archean Cratons
180867,3.1,183.0,320.8,1.8,Musgraves,Proterozoic Orogens
194381,4.1,250.9,181.7,0.7,Musgraves,Proterozoic Orogens
177908,38.1,406.0,118.0,0.3,Yilgarn,Archean Cratons
183596,48.1,415.0,136.0,0.3,Musgraves,Proterozoic Orogens
187109,29.1,653.0,332.0,0.5,Musgraves,Proterozoic Orogens
194777,73.1,58.5,135.0,2.4,Basins,Basins
194433,17.2,553.9,96.1,0.2,Musgraves,Proterozoic Orogens
182476,32.1,867.0,4.6,0.0,Albany-Fraser Orogen,Proterozoic Orogens
189540,31.1,17.0,172.0,10.5,Musgraves,Proterozoic Orogens
194743,40.1,79.6,0.2,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194728,22.1,93.3,3.2,0.0,Albany-Fraser Orogen,Proterozoic Orogens
104970,6.1,602.0,400.0,0.7,Yilgarn,Archean Cratons
104970,23.1,369.0,60.0,0.2,Yilgarn,Archean Cratons
105001,12.1,1277.0,212.0,0.2,Yilgarn,Archean Cratons
105001,19.1,1152.0,881.0,0.8,Yilgarn,Archean Cratons
105002,6.1,1072.0,78.0,0.1,Yilgarn,Archean Cratons
105009,13.1,1002.0,23.0,0.0,Yilgarn,Archean Cratons
105014,17.1,611.0,300.0,0.5,Yilgarn,Archean Cratons
112177,9.1,144.0,92.0,0.6,Yilgarn,Archean Cratons
118914,1.1,850.0,720.0,0.9,Rudall,Proterozoic Orogens
118937,8.1,350.0,141.0,0.4,Yilgarn,Archean Cratons
118947,15.1,419.0,477.0,1.1,Yilgarn,Archean Cratons
142966,26.1,212.0,298.0,1.4,Pilbara,Archean Cratons
142985,7.1,433.0,132.0,0.3,Pilbara,Archean Cratons
144261,17.1,283.0,397.0,1.4,Basins,Basins
183492,21.1,249.0,433.0,1.8,Musgraves,Proterozoic Orogens
83701A,6.1,972.0,566.0,0.6,Albany-Fraser Orogen,Proterozoic Orogens
182435,19.1,43.1,64.7,1.6,Albany-Fraser Orogen,Proterozoic Orogens
194718,3.1,150.4,59.6,0.4,Albany-Fraser Orogen,Proterozoic Orogens
194702,5.1,16.1,0.1,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194740,2.1,110.7,5.3,0.0,Albany-Fraser Orogen,Proterozoic Orogens
174737,11.1,33.0,111.0,3.5,Musgraves,Proterozoic Orogens
185508,18.2,544.0,176.0,0.3,Musgraves,Proterozoic Orogens
187113,21.1,389.0,61.0,0.2,Musgraves,Proterozoic Orogens
194743,99.1,87.0,0.2,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194740,37.1,81.4,3.1,0.0,Albany-Fraser Orogen,Proterozoic Orogens
