order,id,spot,u_ppm,th_ppm,th_u,th_wr,u_wr,composition_index,t_sat,th_z_wr,u_z_wr
808,139468.1,19.1,716,323,0.45,77.7,5.07,1.45,851,4.16,141.22
809,139468.1,5.1,707,332,0.47,77.7,5.07,1.45,851,4.27,139.45
810,139468.1,6.1,349,768,2.2,77.7,5.07,1.45,851,9.88,68.84
811,142657.1,2.1,115,66,0.57,28.1,3.58,1.47,798,2.35,32.12
812,142657.1,23.1,121,80,0.66,28.1,3.58,1.47,798,2.85,33.8
813,142657.1,30.1,157,99,0.63,28.1,3.58,1.47,798,3.52,43.85
814,142657.1,17.1,222,114,0.51,28.1,3.58,1.47,798,4.06,62.01
815,142657.1,32.1,163,116,0.71,28.1,3.58,1.47,798,4.13,45.53
816,142657.1,29.1,195,117,0.6,28.1,3.58,1.47,798,4.16,54.47
817,142657.1,5.1,175,127,0.73,28.1,3.58,1.47,798,4.52,48.88
818,142657.1,25.1,196,129,0.66,28.1,3.58,1.47,798,4.59,54.75
819,142657.1,10.1,592,130,0.22,28.1,3.58,1.47,798,4.63,165.36
820,142657.1,13.1,195,132,0.68,28.1,3.58,1.47,798,4.7,54.47
821,142657.1,22.1,229,144,0.63,28.1,3.58,1.47,798,5.12,63.97
822,142657.1,31.1,182,158,0.87,28.1,3.58,1.47,798,5.62,50.84
823,142657.1,33.1,208,178,0.86,28.1,3.58,1.47,798,6.33,58.1
824,142657.1,6.1,260,188,0.72,28.1,3.58,1.47,798,6.69,72.63
825,142657.1,15.1,354,220,0.62,28.1,3.58,1.47,798,7.83,98.88
826,142657.1,19.1,362,252,0.7,28.1,3.58,1.47,798,8.97,101.12
827,142657.1,4.1,259,272,1.05,28.1,3.58,1.47,798,9.68,72.35
828,142657.1,8.1,352,273,0.78,28.1,3.58,1.47,798,9.72,98.32
829,142657.1,1.1,475,304,0.64,28.1,3.58,1.47,798,10.82,132.68
830,142657.1,28.1,284,317,1.12,28.1,3.58,1.47,798,11.28,79.33
831,142657.1,14.1,475,335,0.71,28.1,3.58,1.47,798,11.92,132.68
832,142657.1,21.1,536,362,0.68,28.1,3.58,1.47,798,12.88,149.72
833,142657.1,11.1,414,388,0.94,28.1,3.58,1.47,798,13.81,115.64
834,142657.1,26.1,420,433,1.03,28.1,3.58,1.47,798,15.41,117.32
835,142657.1,9.1,533,455,0.85,28.1,3.58,1.47,798,16.19,148.88
836,142657.1,7.1,638,584,0.92,28.1,3.58,1.47,798,20.78,178.21
837,142802.1,6.2,108,44,0.41,1.8,1.18,1.35,692,24.44,91.53
838,142802.1,3.2,158,56,0.35,1.8,1.18,1.35,692,31.11,133.9
839,142802.1,2.2,140,71,0.51,1.8,1.18,1.35,692,39.44,118.64
840,142802.1,6.1,82,77,0.94,1.8,1.18,1.35,692,42.78,69.49
841,142802.1,3.1,216,79,0.37,1.8,1.18,1.35,692,43.89,183.05
842,142802.1,8.1,115,86,0.75,1.8,1.18,1.35,692,47.78,97.46
843,142802.1,12.1,178,86,0.48,1.8,1.18,1.35,692,47.78,150.85
844,142802.1,1.1,144,120,0.83,1.8,1.18,1.35,692,66.67,122.03
845,142802.1,5.1,198,134,0.68,1.8,1.18,1.35,692,74.44,167.8
846,142802.1,2.1,223,142,0.64,1.8,1.18,1.35,692,78.89,188.98
847,142802.1,7.1,257,178,0.69,1.8,1.18,1.35,692,98.89,217.8
848,142802.1,14.1,490,199,0.41,1.8,1.18,1.35,692,110.56,415.25
849,142803.1,8.1,219,42,0.19,8.13,1.63,1.37,730,5.17,134.36
850,142803.1,3.1,246,108,0.44,8.13,1.63,1.37,730,13.28,150.92
851,142803.1,11.1,177,109,0.62,8.13,1.63,1.37,730,13.41,108.59
852,142803.1,23.1,355,131,0.37,8.13,1.63,1.37,730,16.11,217.79
853,142803.1,19.1,479,236,0.49,8.13,1.63,1.37,730,29.03,293.87
854,142803.1,6.1,274,239,0.87,8.13,1.63,1.37,730,29.4,168.1
855,142803.1,12.1,462,242,0.52,8.13,1.63,1.37,730,29.77,283.44
856,142803.1,2.1,254,329,1.3,8.13,1.63,1.37,730,40.47,155.83
857,142803.1,7.1,286,344,1.2,8.13,1.63,1.37,730,42.31,175.46
858,142803.1,16.1,258,419,1.62,8.13,1.63,1.37,730,51.54,158.28
859,142803.1,21.1,632,468,0.74,8.13,1.63,1.37,730,57.56,387.73
860,142803.1,15.1,281,559,1.99,8.13,1.63,1.37,730,68.76,172.39
861,142803.1,1.1,508,874,1.72,8.13,1.63,1.37,730,107.5,311.66
862,142803.1,13.1,566,2308,4.08,8.13,1.63,1.37,730,283.89,347.24
863,142835.1,15.1,95,55,0.58,4.7,0.47,1.42,806,11.7,202.13
864,142835.1,9.1,104,56,0.54,4.7,0.47,1.42,806,11.91,221.28
865,142835.1,13.1,105,58,0.55,4.7,0.47,1.42,806,12.34,223.4
866,142835.1,8.1,275,59,0.21,4.7,0.47,1.42,806,12.55,585.11
867,142835.1,14.1,97,61,0.63,4.7,0.47,1.42,806,12.98,206.38
868,142835.1,2.1,107,63,0.59,4.7,0.47,1.42,806,13.4,227.66
869,142835.1,10.1,198,65,0.33,4.7,0.47,1.42,806,13.83,421.28
870,142835.1,19.1,123,67,0.54,4.7,0.47,1.42,806,14.26,261.7
871,142835.1,22.1,126,68,0.54,4.7,0.47,1.42,806,14.47,268.09
872,142835.1,16.1,153,89,0.58,4.7,0.47,1.42,806,18.94,325.53
873,142835.1,7.1,154,96,0.62,4.7,0.47,1.42,806,20.43,327.66
874,142835.1,5.1,208,117,0.56,4.7,0.47,1.42,806,24.89,442.55
875,142835.1,24.1,177,159,0.9,4.7,0.47,1.42,806,33.83,376.6
876,142835.1,21.1,220,176,0.8,4.7,0.47,1.42,806,37.45,468.09
877,142835.1,20.1,253,193,0.76,4.7,0.47,1.42,806,41.06,538.3
878,142835.1,6.1,163,198,1.21,4.7,0.47,1.42,806,42.13,346.81
879,142835.1,3.1,232,214,0.92,4.7,0.47,1.42,806,45.53,493.62
880,142848.1,17.1,78,47,0.6,20.3,1.07,1.46,892,2.32,72.9
881,142848.1,9.1,251,60,0.24,20.3,1.07,1.46,892,2.96,234.58
882,142848.1,4.1,266,71,0.27,20.3,1.07,1.46,892,3.5,248.6
883,142848.1,10.1,277,73,0.26,20.3,1.07,1.46,892,3.6,258.88
884,142848.1,14.1,311,73,0.23,20.3,1.07,1.46,892,3.6,290.65
885,142848.1,3.1,311,79,0.25,20.3,1.07,1.46,892,3.89,290.65
886,142848.1,6.1,318,89,0.28,20.3,1.07,1.46,892,4.38,297.2
887,142848.1,11.1,284,100,0.35,20.3,1.07,1.46,892,4.93,265.42
888,142848.1,7.1,376,100,0.27,20.3,1.07,1.46,892,4.93,351.4
889,142848.1,8.1,290,102,0.35,20.3,1.07,1.46,892,5.02,271.03
890,142848.1,16.1,229,147,0.64,20.3,1.07,1.46,892,7.24,214.02
891,142848.1,20.1,324,245,0.76,20.3,1.07,1.46,892,12.07,302.8
892,142848.1,2.1,286,254,0.89,20.3,1.07,1.46,892,12.51,267.29
893,142870.1,8.1,142,31,0.22,3.4,0.5,1.59,783,9.12,284
894,142870.1,10.1,83,35,0.42,3.4,0.5,1.59,783,10.29,166
895,142870.1,6.1,89,42,0.47,3.4,0.5,1.59,783,12.35,178
896,142870.1,4.1,130,65,0.5,3.4,0.5,1.59,783,19.12,260
897,142870.1,3.1,152,84,0.55,3.4,0.5,1.59,783,24.71,304
898,142892.1,25.1,124,53,0.43,18.5,9.3,1.33,706,2.86,13.33
899,142892.1,17.1,166,78,0.47,18.5,9.3,1.33,706,4.22,17.85
900,142892.1,5.1,155,79,0.51,18.5,9.3,1.33,706,4.27,16.67
901,142892.1,14.1,155,81,0.52,18.5,9.3,1.33,706,4.38,16.67
902,142892.1,13.1,185,85,0.46,18.5,9.3,1.33,706,4.59,19.89
903,142892.1,1.1,185,94,0.51,18.5,9.3,1.33,706,5.08,19.89
904,142892.1,10.1,189,108,0.57,18.5,9.3,1.33,706,5.84,20.32
905,142892.1,22.1,191,117,0.61,18.5,9.3,1.33,706,6.32,20.54
906,142892.1,27.1,270,130,0.48,18.5,9.3,1.33,706,7.03,29.03
907,142892.1,18.1,221,131,0.59,18.5,9.3,1.33,706,7.08,23.76
908,142892.1,6.1,218,132,0.61,18.5,9.3,1.33,706,7.14,23.44
909,142892.1,11.1,517,171,0.33,18.5,9.3,1.33,706,9.24,55.59
910,142892.1,26.1,346,184,0.53,18.5,9.3,1.33,706,9.95,37.2
911,142892.1,12.1,405,184,0.45,18.5,9.3,1.33,706,9.95,43.55
912,142892.1,20.1,268,187,0.7,18.5,9.3,1.33,706,10.11,28.82
913,142892.1,28.1,377,207,0.55,18.5,9.3,1.33,706,11.19,40.54
914,142892.1,15.1,492,246,0.5,18.5,9.3,1.33,706,13.3,52.9
915,142892.1,8.1,505,274,0.54,18.5,9.3,1.33,706,14.81,54.3
916,142892.1,23.1,367,284,0.77,18.5,9.3,1.33,706,15.35,39.46
917,142913.1,19.1,113,120,1.06,38.9,4.64,1.3,746,3.08,24.35
918,142913.1,6.1,142,125,0.88,38.9,4.64,1.3,746,3.21,30.6
919,142913.1,9.1,160,142,0.89,38.9,4.64,1.3,746,3.65,34.48
920,142913.1,12.1,209,182,0.87,38.9,4.64,1.3,746,4.68,45.04
921,142913.1,21.1,154,189,1.23,38.9,4.64,1.3,746,4.86,33.19
922,142913.1,3.1,215,194,0.9,38.9,4.64,1.3,746,4.99,46.34
923,142913.1,4.1,201,196,0.98,38.9,4.64,1.3,746,5.04,43.32
924,142913.1,22.1,208,196,0.94,38.9,4.64,1.3,746,5.04,44.83
925,142913.1,10.1,220,202,0.92,38.9,4.64,1.3,746,5.19,47.41
926,142913.1,18.1,133,215,1.62,38.9,4.64,1.3,746,5.53,28.66
927,142913.1,1.1,263,221,0.84,38.9,4.64,1.3,746,5.68,56.68
928,142913.1,8.1,229,225,0.98,38.9,4.64,1.3,746,5.78,49.35
929,142913.1,5.1,177,241,1.36,38.9,4.64,1.3,746,6.2,38.15
930,142913.1,13.1,304,251,0.83,38.9,4.64,1.3,746,6.45,65.52
931,142913.1,15.1,341,259,0.76,38.9,4.64,1.3,746,6.66,73.49
932,142913.1,16.1,424,267,0.63,38.9,4.64,1.3,746,6.86,91.38
933,142914.1,2.1,49,67,1.37,87.2,4.02,1.55,882,0.77,12.19
934,142914.1,12.1,67,77,1.15,87.2,4.02,1.55,882,0.88,16.67
935,142914.1,18.1,93,86,0.92,87.2,4.02,1.55,882,0.99,23.13
936,142914.1,20.1,116,108,0.93,87.2,4.02,1.55,882,1.24,28.86
937,142914.1,10.1,504,128,0.25,87.2,4.02,1.55,882,1.47,125.37
938,142914.1,8.1,105,130,1.24,87.2,4.02,1.55,882,1.49,26.12
939,142914.1,7.1,107,139,1.3,87.2,4.02,1.55,882,1.59,26.62
940,142914.1,14.1,166,146,0.88,87.2,4.02,1.55,882,1.67,41.29
941,142914.1,11.1,102,147,1.44,87.2,4.02,1.55,882,1.69,25.37
942,142914.1,25.1,110,155,1.41,87.2,4.02,1.55,882,1.78,27.36
943,142914.1,17.1,196,194,0.99,87.2,4.02,1.55,882,2.22,48.76
944,142914.1,22.1,206,201,0.98,87.2,4.02,1.55,882,2.31,51.24
945,142914.1,16.1,230,215,0.93,87.2,4.02,1.55,882,2.47,57.21
946,142914.1,13.1,366,218,0.6,87.2,4.02,1.55,882,2.5,91.04
947,142914.1,19.1,271,236,0.87,87.2,4.02,1.55,882,2.71,67.41
948,142914.1,6.1,239,240,1,87.2,4.02,1.55,882,2.75,59.45
949,142914.1,24.1,458,284,0.62,87.2,4.02,1.55,882,3.26,113.93
950,142914.1,21.1,265,325,1.23,87.2,4.02,1.55,882,3.73,65.92
951,142914.1,23.1,501,346,0.69,87.2,4.02,1.55,882,3.97,124.63
952,142914.1,1.1,1096,361,0.33,87.2,4.02,1.55,882,4.14,272.64
953,142914.1,4.1,1364,394,0.29,87.2,4.02,1.55,882,4.52,339.3
954,142914.1,5.1,276,465,1.68,87.2,4.02,1.55,882,5.33,68.66
955,142914.1,3.1,570,576,1.01,87.2,4.02,1.55,882,6.61,141.79
956,142915.1,11.1,64,49,0.77,31.1,7.64,1.39,791,1.58,8.38
957,142915.1,17.1,295,59,0.2,31.1,7.64,1.39,791,1.9,38.61
958,142915.1,5.1,152,131,0.86,31.1,7.64,1.39,791,4.21,19.9
959,142915.1,14.1,163,150,0.92,31.1,7.64,1.39,791,4.82,21.34
960,142915.1,12.1,148,244,1.65,31.1,7.64,1.39,791,7.85,19.37
961,142915.1,4.1,262,248,0.95,31.1,7.64,1.39,791,7.97,34.29
962,142915.1,2.1,117,255,2.18,31.1,7.64,1.39,791,8.2,15.31
963,142915.1,13.1,140,270,1.93,31.1,7.64,1.39,791,8.68,18.32
964,142915.1,1.1,244,282,1.16,31.1,7.64,1.39,791,9.07,31.94
965,142915.1,8.1,223,424,1.9,31.1,7.64,1.39,791,13.63,29.19
966,142915.1,9.1,341,437,1.28,31.1,7.64,1.39,791,14.05,44.63
967,142915.1,6.1,385,490,1.27,31.1,7.64,1.39,791,15.76,50.39
968,142915.1,7.1,669,811,1.21,31.1,7.64,1.39,791,26.08,87.57
969,142919.1,17.1,363,109,0.3,25.1,11.95,1.38,738,4.34,30.38
970,142919.1,14.1,195,173,0.89,25.1,11.95,1.38,738,6.89,16.32
971,142919.1,7.1,410,186,0.45,25.1,11.95,1.38,738,7.41,34.31
972,142919.1,12.1,394,199,0.51,25.1,11.95,1.38,738,7.93,32.97
973,142919.1,10.1,282,217,0.77,25.1,11.95,1.38,738,8.65,23.6
974,142919.1,6.1,346,244,0.71,25.1,11.95,1.38,738,9.72,28.95
975,142919.1,9.1,267,287,1.07,25.1,11.95,1.38,738,11.43,22.34
976,142919.1,22.1,394,298,0.76,25.1,11.95,1.38,738,11.87,32.97
977,142919.1,11.1,567,376,0.66,25.1,11.95,1.38,738,14.98,47.45
978,142919.1,4.1,252,482,1.91,25.1,11.95,1.38,738,19.2,21.09
979,142919.1,8.1,256,573,2.24,25.1,11.95,1.38,738,22.83,21.42
980,142919.1,5.1,193,610,3.16,25.1,11.95,1.38,738,24.3,16.15
981,142920.1,15.1,24,34,1.42,10.2,2.77,1.41,773,3.33,8.66
982,142920.1,17.1,17,38,2.24,10.2,2.77,1.41,773,3.73,6.14
983,142920.1,27.1,26,38,1.46,10.2,2.77,1.41,773,3.73,9.39
984,142920.1,6.1,28,39,1.39,10.2,2.77,1.41,773,3.82,10.11
985,142920.1,25.1,28,40,1.43,10.2,2.77,1.41,773,3.92,10.11
986,142920.1,1.1,26,42,1.62,10.2,2.77,1.41,773,4.12,9.39
987,142920.1,16.1,32,45,1.41,10.2,2.77,1.41,773,4.41,11.55
988,142920.1,7.1,37,45,1.22,10.2,2.77,1.41,773,4.41,13.36
989,142920.1,8.1,40,52,1.3,10.2,2.77,1.41,773,5.1,14.44
990,142920.1,9.1,58,54,0.93,10.2,2.77,1.41,773,5.29,20.94
991,142920.1,10.1,39,55,1.41,10.2,2.77,1.41,773,5.39,14.08
992,142920.1,18.1,40,55,1.38,10.2,2.77,1.41,773,5.39,14.44
993,142920.1,5.1,39,58,1.49,10.2,2.77,1.41,773,5.69,14.08
994,142920.1,19.1,44,66,1.5,10.2,2.77,1.41,773,6.47,15.88
995,142920.1,26.1,50,75,1.5,10.2,2.77,1.41,773,7.35,18.05
996,142920.1,13.1,64,84,1.31,10.2,2.77,1.41,773,8.24,23.1
997,142920.1,4.1,62,86,1.39,10.2,2.77,1.41,773,8.43,22.38
998,142920.1,21.1,108,91,0.84,10.2,2.77,1.41,773,8.92,38.99
999,142920.1,2.1,71,110,1.55,10.2,2.77,1.41,773,10.78,25.63
1000,142920.1,23.1,84,121,1.44,10.2,2.77,1.41,773,11.86,30.32
1001,142920.1,22.1,100,127,1.27,10.2,2.77,1.41,773,12.45,36.1
1002,142920.1,14.1,77,140,1.82,10.2,2.77,1.41,773,13.73,27.8
1003,142924.1,18.1,363,91,0.25,6.5,1.68,1.3,716,14,216.07
1004,142924.1,12.1,408,128,0.31,6.5,1.68,1.3,716,19.69,242.86
1005,142924.1,7.1,340,136,0.4,6.5,1.68,1.3,716,20.92,202.38
1006,142924.1,2.1,464,175,0.38,6.5,1.68,1.3,716,26.92,276.19
1007,142924.1,1.1,555,195,0.35,6.5,1.68,1.3,716,30,330.36
1008,142924.1,16.1,353,315,0.89,6.5,1.68,1.3,716,48.46,210.12
1009,142925.1,1.1,215,66,0.31,1,0.95,1.39,791,66,226.32
1010,142925.1,16.1,279,82,0.29,1,0.95,1.39,791,82,293.68
1011,142925.1,3.1,295,126,0.43,1,0.95,1.39,791,126,310.53
1012,142925.1,15.1,354,156,0.44,1,0.95,1.39,791,156,372.63
1013,142925.1,13.1,359,162,0.45,1,0.95,1.39,791,162,377.89
1014,142925.1,21.1,357,180,0.5,1,0.95,1.39,791,180,375.79
1015,142925.1,19.1,435,238,0.55,1,0.95,1.39,791,238,457.89
1016,142925.1,11.1,1939,238,0.12,1,0.95,1.39,791,238,2041.05
1017,142925.1,5.1,449,240,0.53,1,0.95,1.39,791,240,472.63
1018,142925.1,9.1,470,265,0.56,1,0.95,1.39,791,265,494.74
1019,142925.1,17.1,453,271,0.6,1,0.95,1.39,791,271,476.84
1020,142925.1,22.1,511,298,0.58,1,0.95,1.39,791,298,537.89
1021,142925.1,18.1,533,316,0.59,1,0.95,1.39,791,316,561.05
1022,142925.1,4.1,537,321,0.6,1,0.95,1.39,791,321,565.26
1023,142925.1,10.1,539,324,0.6,1,0.95,1.39,791,324,567.37
1024,142925.1,6.1,564,325,0.58,1,0.95,1.39,791,325,593.68
1025,142925.1,8.1,542,326,0.6,1,0.95,1.39,791,326,570.53
1026,142925.1,7.1,562,342,0.61,1,0.95,1.39,791,342,591.58
1027,142925.1,14.1,582,357,0.61,1,0.95,1.39,791,357,612.63
1028,142925.1,20.1,611,369,0.6,1,0.95,1.39,791,369,643.16
1029,142925.1,2.1,567,416,0.73,1,0.95,1.39,791,416,596.84
1030,142925.1,12.1,1941,728,0.38,1,0.95,1.39,791,728,2043.16
1031,142926.1,4.1,1776,78,0.04,9,2.61,1.53,799,8.67,680.46
1032,142926.1,6.1,1823,80,0.04,9,2.61,1.53,799,8.89,698.47
1033,142926.1,13.1,1127,82,0.07,9,2.61,1.53,799,9.11,431.8
1034,142926.1,18.1,2103,88,0.04,9,2.61,1.53,799,9.78,805.75
1035,142926.1,2.1,3392,101,0.03,9,2.61,1.53,799,11.22,1299.62
1036,142926.1,1.1,2811,107,0.04,9,2.61,1.53,799,11.89,1077.01
1037,142926.1,17.1,4061,124,0.03,9,2.61,1.53,799,13.78,1555.94
1038,142926.1,20.1,3775,126,0.03,9,2.61,1.53,799,14,1446.36
1039,142926.1,5.1,3809,152,0.04,9,2.61,1.53,799,16.89,1459.39
1040,142926.1,11.1,3658,155,0.04,9,2.61,1.53,799,17.22,1401.53
1041,142926.1,16.1,3576,157,0.04,9,2.61,1.53,799,17.44,1370.11
1042,142926.1,19.1,4000,172,0.04,9,2.61,1.53,799,19.11,1532.57
1043,142926.1,10.1,4774,208,0.04,9,2.61,1.53,799,23.11,1829.12
1044,142926.1,7.1,1661,254,0.15,9,2.61,1.53,799,28.22,636.4
1045,142926.1,15.1,698,485,0.69,9,2.61,1.53,799,53.89,267.43
1046,142927.1,8.1,269,62,0.23,4,0.75,<,<,15.5,358.67
1047,142927.1,5.1,297,64,0.22,4,0.75,<,<,16,396
1048,142927.1,2.1,414,85,0.21,4,0.75,<,<,21.25,552
1049,142927.1,10.2,476,90,0.19,4,0.75,<,<,22.5,634.67
1050,142927.1,8.2,342,103,0.3,4,0.75,<,<,25.75,456
1051,142927.1,10.1,571,122,0.21,4,0.75,<,<,30.5,761.33
1052,142927.1,4.1,2406,122,0.05,4,0.75,<,<,30.5,3208
1053,142927.1,11.1,569,167,0.29,4,0.75,<,<,41.75,758.67
1054,142928.1,20.1,80,27,0.34,7.7,1.25,1.38,773,3.51,64
1055,142928.1,18.1,87,43,0.49,7.7,1.25,1.38,773,5.58,69.6
1056,142928.1,8.1,294,44,0.15,7.7,1.25,1.38,773,5.71,235.2
1057,142928.1,13.1,380,64,0.17,7.7,1.25,1.38,773,8.31,304
1058,142928.1,3.1,303,65,0.21,7.7,1.25,1.38,773,8.44,242.4
1059,142928.1,10.1,167,71,0.43,7.7,1.25,1.38,773,9.22,133.6
1060,142928.1,4.1,274,79,0.29,7.7,1.25,1.38,773,10.26,219.2
1061,142928.1,1.1,294,91,0.31,7.7,1.25,1.38,773,11.82,235.2
1062,142928.1,6.1,251,93,0.37,7.7,1.25,1.38,773,12.08,200.8
1063,142928.1,2.1,186,96,0.52,7.7,1.25,1.38,773,12.47,148.8
1064,142928.1,2.1,120,115,0.96,7.7,1.25,1.38,773,14.94,96
1065,142928.1,17.1,214,123,0.57,7.7,1.25,1.38,773,15.97,171.2
1066,142928.1,1.1,270,125,0.46,7.7,1.25,1.38,773,16.23,216
1067,142928.1,7.1,148,139,0.94,7.7,1.25,1.38,773,18.05,118.4
1068,142928.1,22.1,247,188,0.76,7.7,1.25,1.38,773,24.42,197.6
1069,142928.1,12.1,381,210,0.55,7.7,1.25,1.38,773,27.27,304.8
1070,142928.1,15.1,520,232,0.45,7.7,1.25,1.38,773,30.13,416
1071,142928.1,14.1,398,245,0.62,7.7,1.25,1.38,773,31.82,318.4
1072,142928.1,9.1,364,272,0.75,7.7,1.25,1.38,773,35.32,291.2
1073,142928.1,21.1,512,304,0.59,7.7,1.25,1.38,773,39.48,409.6
1074,142928.1,16.1,711,334,0.47,7.7,1.25,1.38,773,43.38,568.8
1075,142928.1,19.1,501,417,0.83,7.7,1.25,1.38,773,54.16,400.8
1076,142929.1,20.1,253,72,0.28,8.9,1.76,1.37,784,8.09,143.75
1077,142929.1,19.1,187,104,0.56,8.9,1.76,1.37,784,11.69,106.25
1078,142929.1,19.2,231,114,0.49,8.9,1.76,1.37,784,12.81,131.25
1079,142929.1,21.1,653,205,0.31,8.9,1.76,1.37,784,23.03,371.02
1080,142934.1,7.1,204,129,0.63,17.1,3.93,1.37,790,7.54,51.91
1081,142934.1,5.1,208,129,0.62,17.1,3.93,1.37,790,7.54,52.93
1082,142934.1,12.1,263,131,0.5,17.1,3.93,1.37,790,7.66,66.92
1083,142934.1,1.1,242,149,0.62,17.1,3.93,1.37,790,8.71,61.58
1084,142934.1,11.1,280,152,0.54,17.1,3.93,1.37,790,8.89,71.25
1085,142934.1,10.1,266,154,0.58,17.1,3.93,1.37,790,9.01,67.68
1086,142934.1,8.1,249,160,0.64,17.1,3.93,1.37,790,9.36,63.36
1087,142934.1,13.1,221,165,0.75,17.1,3.93,1.37,790,9.65,56.23
1088,142934.1,14.1,308,177,0.57,17.1,3.93,1.37,790,10.35,78.37
1089,142934.1,2.1,276,183,0.66,17.1,3.93,1.37,790,10.7,70.23
1090,142934.1,25.1,359,198,0.55,17.1,3.93,1.37,790,11.58,91.35
1091,142934.1,15.1,225,205,0.91,17.1,3.93,1.37,790,11.99,57.25
1092,142934.1,22.1,390,213,0.55,17.1,3.93,1.37,790,12.46,99.24
1093,142934.1,9.1,307,217,0.71,17.1,3.93,1.37,790,12.69,78.12
1094,142934.1,21.1,272,238,0.88,17.1,3.93,1.37,790,13.92,69.21
1095,142934.1,24.1,521,286,0.55,17.1,3.93,1.37,790,16.73,132.57
1096,142934.1,3.1,460,346,0.75,17.1,3.93,1.37,790,20.23,117.05
1097,142934.1,6.1,625,387,0.62,17.1,3.93,1.37,790,22.63,159.03
1098,142935.1,25.1,74,47,0.64,23.9,3.37,1.64,763,1.97,21.96
1099,142935.1,18.1,81,58,0.72,23.9,3.37,1.64,763,2.43,24.04
1100,142935.1,17.1,70,62,0.89,23.9,3.37,1.64,763,2.59,20.77
1101,142935.1,1.1,84,67,0.8,23.9,3.37,1.64,763,2.8,24.93
1102,142935.1,6.1,81,70,0.86,23.9,3.37,1.64,763,2.93,24.04
1103,142935.1,16.1,82,70,0.85,23.9,3.37,1.64,763,2.93,24.33
1104,142935.1,20.1,90,75,0.83,23.9,3.37,1.64,763,3.14,26.71
1105,142935.1,22.1,124,77,0.62,23.9,3.37,1.64,763,3.22,36.8
1106,142935.1,11.1,106,80,0.75,23.9,3.37,1.64,763,3.35,31.45
1107,142935.1,24.1,104,84,0.81,23.9,3.37,1.64,763,3.51,30.86
1108,142935.1,27.1,94,89,0.95,23.9,3.37,1.64,763,3.72,27.89
1109,142935.1,12.1,103,91,0.88,23.9,3.37,1.64,763,3.81,30.56
1110,142935.1,26.1,119,99,0.83,23.9,3.37,1.64,763,4.14,35.31
1111,142935.1,13.1,132,133,1.01,23.9,3.37,1.64,763,5.56,39.17
1112,142935.1,9.1,97,163,1.68,23.9,3.37,1.64,763,6.82,28.78
1113,142935.1,5.1,341,178,0.52,23.9,3.37,1.64,763,7.45,101.19
1114,142935.1,7.1,190,182,0.96,23.9,3.37,1.64,763,7.62,56.38
1115,142935.1,4.1,148,193,1.3,23.9,3.37,1.64,763,8.08,43.92
1116,142935.1,23.1,178,213,1.2,23.9,3.37,1.64,763,8.91,52.82
1117,142935.1,19.1,423,248,0.59,23.9,3.37,1.64,763,10.38,125.52
1118,142935.1,2.1,383,289,0.75,23.9,3.37,1.64,763,12.09,113.65
1119,142935.1,10.1,215,329,1.53,23.9,3.37,1.64,763,13.77,63.8
1120,142935.1,14.1,617,377,0.61,23.9,3.37,1.64,763,15.77,183.09
1121,142935.1,15.1,557,471,0.85,23.9,3.37,1.64,763,19.71,165.28
1122,142935.1,3.1,573,519,0.91,23.9,3.37,1.64,763,21.72,170.03
1123,142935.1,8.1,765,1157,1.51,23.9,3.37,1.64,763,48.41,227
1124,142936.1,4.1,551,185,0.34,22.2,18.46,1.36,727,8.33,29.85
1125,142936.1,8.1,697,190,0.27,22.2,18.46,1.36,727,8.56,37.76
1126,142936.1,13.1,1194,374,0.31,22.2,18.46,1.36,727,16.85,64.68
1127,142936.1,1.1,681,465,0.68,22.2,18.46,1.36,727,20.95,36.89
1128,142936.1,12.1,1806,654,0.36,22.2,18.46,1.36,727,29.46,97.83
1129,142937.1,1.1,91,49,0.54,34.6,12.03,1.39,796,1.42,7.56
1130,142937.1,15.1,188,52,0.28,34.6,12.03,1.39,796,1.5,15.63
1131,142937.1,9.2,102,71,0.7,34.6,12.03,1.39,796,2.05,8.48
1132,142937.1,4.1,410,71,0.17,34.6,12.03,1.39,796,2.05,34.08
1133,142937.1,17.1,124,74,0.6,34.6,12.03,1.39,796,2.14,10.31
1134,142937.1,7.1,896,79,0.09,34.6,12.03,1.39,796,2.28,74.48
1135,142937.1,1.2,116,80,0.69,34.6,12.03,1.39,796,2.31,9.64
1136,142937.1,9.1,112,81,0.72,34.6,12.03,1.39,796,2.34,9.31
1137,142937.1,3.1,97,89,0.92,34.6,12.03,1.39,796,2.57,8.06
1138,142937.1,7.2,1035,89,0.09,34.6,12.03,1.39,796,2.57,86.03
1139,142937.1,2.2,128,108,0.84,34.6,12.03,1.39,796,3.12,10.64
1140,142937.1,2.1,149,124,0.83,34.6,12.03,1.39,796,3.58,12.39
1141,142937.1,11.1,267,129,0.48,34.6,12.03,1.39,796,3.73,22.19
1142,142937.1,8.1,189,171,0.9,34.6,12.03,1.39,796,4.94,15.71
1143,142937.1,8.2,231,221,0.96,34.6,12.03,1.39,796,6.39,19.2
1144,142937.1,14.2,376,292,0.78,34.6,12.03,1.39,796,8.44,31.26
1145,142937.1,13.1,353,342,0.97,34.6,12.03,1.39,796,9.88,29.34
1146,142937.1,6.1,547,393,0.72,34.6,12.03,1.39,796,11.36,45.47
1147,142937.1,3.2,389,410,1.05,34.6,12.03,1.39,796,11.85,32.34
